,name,area,city,specialization,consultationfee,rating,experience,hospitalname,stories
235,Dr. Roshan Kumar.B,Whitefield,Bangalore,Dermatologist,700,96,19,Vida Skin & Hair Transplant Clinic,26
236,Dr. Renu Nair,HSR Layout,Bangalore,Dermatologist,600,97,15,Dr. Renu's Skin And Hair Clinic,138
237,Dr. Kavya Nayak,Sarjapur Road,Bangalore,Dermatologist,1000,96,15,Skinray Skin Hair & Laser Clinic,526
238,Dr. Sridhar Gogineni,Marathahalli,Bangalore,Dermatologist,600,98,17,"Avance Derma Skin, Hair & Laser Clinic",327
239,Dr. Neelima Sharma,Jayanagar 9 Block,Bangalore,Dermatologist,650,95,24,Manipal Hospital,27
240,Dr. Govind S Mittal,Jayanagar,Bangalore,Dermatologist,800,98,13,Therapeia Skin Hair and ENT Centre,341
241,Dr. Safia Tanyeem,Koramangala 5 Block,Bangalore,Dermatologist,750,92,13,Apollo Medical Centre,47
242,Dr. Sujaya S.N.,HRBR Layout,Bangalore,Dermatologist,750,98,19,SurgiDerma Hospital,134
243,Dr. K C Dharam Kumar,JP Nagar,Bangalore,Dermatologist,750,99,9,Epiderma Skin and Hair Clinic,197
244,Dr. Aradhana Sood,Hebbal,Bangalore,Dermatologist,1090,100,23,Manipal Hospital,1
245,Dr. Parthasarathi Dutta Roy,MG Road,Bangalore,Dermatologist,700,89,20,Dr. Partha Sarathi's Asian Hair And Skin Hospitals,1324
246,Dr. S C Rajendran,Koramangala,Bangalore,Dermatologist,600,68,44,Cosmetic Skin Care Clinic,111
247,Dr. Veena Rao,Jayanagar 5 Block,Bangalore,Dermatologist,700,97,24,Oliva Skin And Hair Clinic,169
248,Dr. Gogineni Deepti Walvekar,Marathahalli,Bangalore,Dermatologist,600,91,15,"Avance Derma Skin, Hair & Laser Clinic",43
249,Dr. Sanjana Shivashankar,Indiranagar,Bangalore,Dermatologist,650,93,14,Theory Of Skin Dermatology and Aesthetics,71
250,Dr. Jigisha N Jalu,Whitefield,Bangalore,Dermatologist,700,97,13,Vida Skin & Hair Transplant Clinic,52
251,Dr. Aishwarya Radhakrishna,Jayanagar 5 Block,Bangalore,Dermatologist,700,93,15,Oliva Skin And Hair Clinic,72
252,Dr. Dilshad Shetty,HRBR Layout,Bangalore,Dermatologist,700,97,18,Oliva Skin & Hair Clinic,93
253,Dr. Hari Kishan Kumar,Kengeri,Bangalore,Dermatologist,700,83,17,BGS Gleneagles Global Hospital,16
254,Dr. Rethvi Tej,Sadashivanagar,Bangalore,Dermatologist,700,98,13,Oliva Skin & Hair Clinic,39
255,Dr. M G Gopal,Jayanagar,Bangalore,Dermatologist,700,90,37,Sagar Hospitals,85
256,Dr. Abhijna Rai,Whitefield,Bangalore,Dermatologist,600,94,9,Aesthetica Veda,22
257,Dr. Divya Gupta,Old Airport Road,Bangalore,Dermatologist,1100,100,14,Manipal Hospitals Old Airport Road,2
258,Dr. Chandrashekara Aithal,BTM Layout 2nd Stage,Bangalore,Dermatologist,600,86,33,Skin Hair & Cosmetology Clinic,83
259,Dr. Vishnu M Moodalgiri,Electronics City,Bangalore,Dermatologist,750,99,11,Apollo Clinic,23
260,Dr. Bhavyashree U G,HRBR Layout,Bangalore,Dermatologist,600,88,12,Aesthetica Veda,69
261,Dr. Mukesh Ramnane,Old Airport Road,Bangalore,Dermatologist,1100,75,40,Manipal Hospitals Old Airport Road,11
262,Dr. J Prasad,Sanjay Nagar,Bangalore,Dermatologist,600,97,13,Revive Skin Hair and Laser Center,84
263,Dr. Rakesh Reddy,Sanjay Nagar,Bangalore,Dermatologist,600,94,24,Rakesh Reddy's Skin Clinic,46
264,Dr. Kisalay Saurav,Kalyan Nagar,Bangalore,Dermatologist,800,94,20,Dr. Saurav's Skin Clinic,121
265,Dr. Kavya K,Horamavu,Bangalore,Dermatologist,400,98,11,Paripoorna Medical Centre,85
266,Dr. V Sreelalitha,Whitefield,Bangalore,Dermatologist,700,82,11,Oliva Skin And Hair Clinic,44
267,Dr. Shankar D Desai,Yeshwanthpur,Bangalore,Dermatologist,850,65,38,Manipal Hospitals Yeshwanthpur,10
268,Dr. Madan Kumar B J,Old Airport Road,Bangalore,Dermatologist,750,92,12,Vtiara Hair & Skin Clinic,57
269,Dr. Sharanya Babu K,Basavanagudi,Bangalore,Dermatologist,600,98,14,Kshipra Health Clinic,28
270,Dr. Shruthi M K,Jayanagar 5 Block,Bangalore,Dermatologist,700,98,14,Oliva Skin And Hair Clinic,82
271,Dr. Radhakrishna Bhat,HSR Layout,Bangalore,Dermatologist,1200,95,25,Skin Clinic,122
272,Dr. Jaya Sathvika Varre,HRBR Layout,Bangalore,Dermatologist,700,95,10,Oliva Skin & Hair Clinic,59
273,Dr. Poovamma A S,HSR Layout,Bangalore,Dermatologist,700,97,9,Oliva Skin & Hair Clinic,22
274,Dr. Shwetha H P,Sarjapur Road,Bangalore,Dermatologist,650,96,11,Apollo Clinic,19
275,Dr. Juvita Rasquinha,Indiranagar,Bangalore,Dermatologist,500,91,18,"Dr. Juvita's Aesthetics Skin, Hair and Cosmetology Clinic",478
276,Dr. Samatha M Swamy,Bellandur,Bangalore,Dermatologist,700,95,12,Apollo Clinic,46
277,Dr. Kala Vimal,Indiranagar,Bangalore,Dermatologist,500,81,22,Hairline International Hair & Skin Clinic,4
278,Dr. Sneha Sood,Indiranagar,Bangalore,Dermatologist,500,98,11,Beautiful Mind Healthcare,86
279,Dr. Sanjay S Desai,RT Nagar,Bangalore,Dermatologist,500,94,15,Dr. Desai Skin and Hair Clinic,61
280,Dr. Swathi D,JP Nagar,Bangalore,Dermatologist,600,100,7,Sapphire Skin and Aesthetics Clinic,
281,Dr. Shruthi C,Jayanagar 4 Block,Bangalore,Dermatologist,600,100,14,Skin & Recon Dermatology And Plastic Surgery Clinic,7
282,Dr. Premalatha,HRBR Layout,Bangalore,Dermatologist,600,88,13,Pralash Dermystique And Dentique Clinic,7
283,Dr. Swetha Gowda,Indiranagar,Bangalore,Dermatologist,700,92,12,Oliva Skin & Hair Clinic,63
284,Dr. Dinesh Gowda,Indiranagar,Bangalore,Dermatologist,500,63,35,Hairline International Hair & Skin Clinic,3
285,Dr. Shishira R J,HSR Layout,Bangalore,Dermatologist,2000,94,11,DermaZeal Clinic,226
286,Dr. Prakruthi,HSR Layout,Bangalore,Dermatologist,700,99,15,Oliva Skin & Hair Clinic,69
287,Dr. Abhishek Ponathil,Kadugodi,Bangalore,Dermatologist,750,100,13,D White Feather Advanced Hair and Skin Clinic,10
288,Dr. Kiran Kattishettar,Hebbal,Bangalore,Dermatologist,1000,100,33,Manipal Hospital,3
289,Dr. Anoop Gopal D S,Koramangala 7 Block,Bangalore,Dermatologist,700,92,12,Oliva Skin & Hair Clinic,50
290,Dr. Akshitha Ratnakara Shetty,Indiranagar,Bangalore,Dermatologist,700,98,14,Oliva Skin & Hair Clinic,41
291,Dr. Jaidev N.C,Millers Road,Bangalore,Dermatologist,1000,90,14,"Manipal Hospital, Millers Road",7
292,Dr. Meghana Karlekar.R,Whitefield,Bangalore,Dermatologist,700,100,9,Oliva Skin And Hair Clinic,36
293,Dr. Sindhujaa Sreekanth S,Koramangala 7 Block,Bangalore,Dermatologist,700,96,7,Oliva Skin & Hair Clinic,23
294,Dr. Yogeesh H R,Koramangala 4 Block,Bangalore,Dermatologist,800,95,30,Akshatha Skin And Hair Care Centre,167
295,Dr. Chytra V Anand,Richmond Town,Bangalore,Dermatologist,2000,50,22,Kosmoderma Skin Hair Body Clinics - Lavelle Road,63
296,Dr. Kavya H Reganti,JP Nagar,Bangalore,Dermatologist,600,100,5,Sapphire Skin and Aesthetics Clinic,36
297,Dr. Sheetal Srinivas,Sadashivanagar,Bangalore,Dermatologist,700,100,8,Oliva Skin & Hair Clinic,18
298,Dr. Midhuna PV,Whitefield,Bangalore,Dermatologist,700,100,5,Oliva Skin And Hair Clinic,21
299,Dr. Divya R,Jayanagar 4 Block,Bangalore,Dermatologist,700,,6,Dermacare Skin & Hair Clinic,21
300,Dr. Kapil Baheti,Sadashivanagar,Bangalore,Dermatologist,700,100,4,Oliva Skin & Hair Clinic,2
301,Dr. Vijendran Pragasam,Seshadripuram,Bangalore,Dermatologist,800,100,19,Apollo Hospitals,8
302,Dr. Gnana Prabha M,Koramangala 7 Block,Bangalore,Dermatologist,700,100,6,Oliva Skin & Hair Clinic,3
303,Dr. Maria Rupini James,Indiranagar,Bangalore,Dermatologist,700,100,9,Oliva Skin & Hair Clinic,10
304,Dr. Vennela Reddy,Whitefield,Bangalore,Dermatologist,600,98,5,YCDC - Dr. Yogiraj Centre For Dermatology And Cosmetology,29
305,Dr. Tejaswini Acharya P,Sadashivanagar,Bangalore,Dermatologist,700,100,5,Oliva Skin & Hair Clinic,9
306,Dr. Annam Navya,HRBR Layout,Bangalore,Dermatologist,700,100,7,Oliva Skin & Hair Clinic,7
307,Dr. Prathyoosha S,Whitefield,Bangalore,Dermatologist,700,100,7,Oliva Skin And Hair Clinic,8
308,Dr. Preeti Havanur,HRBR Layout,Bangalore,Dermatologist,700,100,5,Oliva Skin & Hair Clinic,3
309,Dr. Vandhana Manoharan,HRBR Layout,Bangalore,Dermatologist,600,100,8,Aesthetica Veda,2
310,Dr. K B Shilpashree,JP Nagar 7 Phase,Bangalore,Dentist,500,95,21,Dental Profiles Clinic,5
311,Dr. Minty Sharma,HSR Layout,Bangalore,Dentist,350,98,17,Smiles Dental Studio,247
312,Dr. Prafulla Biradar,Sahakaranagar,Bangalore,Dentist,400,99,22,Impressions Dental Specialities,83
313,Dr. D N Naveen,New Thippasandra,Bangalore,Dentist,500,97,29,Vignesh Dental Speciality Centre,50
314,Dr. Rashmi Shetty,Koramangala,Bangalore,Dentist,350,99,18,Chisel Dental,2757
315,Dr. Priya Bansal,Koramangala,Bangalore,Dentist,500,99,17,Priya Dental Clinic,200
316,Dr. Santosh B S,Singasandra,Bangalore,Dentist,300,99,20,Dental 32,137
317,Dr. Sindhu S Kumar,Jayanagar 4 Block,Bangalore,Dentist,300,99,14,Excel Dental Care,127
318,Dr. T. Ramakrishna,JP Nagar 7 Phase,Bangalore,Dentist,500,95,25,Dental Profiles Clinic,385
319,Dr. M J Murali,Indiranagar,Bangalore,Dentist,300,96,26,All Care Dental Centre - since 1969,145
320,Dr. Shyam Padmanabhan,New Thippasandra,Bangalore,Dentist,500,99,27,Vignesh Dental Speciality Centre,245
321,Dr. Sainath N.K.,Sarjapur Road,Bangalore,Dentist,500,100,22,Ittina Wellness - Dental Clinic & Implant Centre,166
322,Dr. Prabhu Dev P,Sarjapur Road,Bangalore,Dentist,500,97,22,Ittina Wellness - Dental Clinic & Implant Centre,87
323,Dr. K Bala Vikhram,HSR Layout,Bangalore,Dentist,350,100,19,Smiles 'N' Aesthetics,56
324,Dr. Pramod,Koramangala,Bangalore,Dentist,500,98,19,Dental de Care,202
325,Dr. Parul Shrivastav,Electronics City,Bangalore,Dentist,700,86,17,Practo Hospitals - Neo,6
326,Dr. Nirjhar,Seegehalli,Bangalore,Dentist,500,95,16,Inspiring Smilz Gum Care And Implant Center,60
327,Dr. Sunny Soni,Nagawara,Bangalore,Dentist,500,99,12,Aesthetic Dental Clinic,91
328,Dr. Nikhar Ravinder,Whitefield,Bangalore,Dentist,600,99,21,Dentalign,402
329,Dr. Lokesh Babu,Whitefield,Bangalore,Dentist,850,99,24,Manipal Hospital Varthur Road,64
330,Dr. Raghu T Narayan,Indiranagar,Bangalore,Dentist,500,94,25,Specialists Dental And Implant Center,70
331,Dr. Kiran Raj N,Banaswadi,Bangalore,Dentist,400,100,14,Dental Frames,91
332,Dr. Venkatesh M J,Indiranagar,Bangalore,Dentist,300,94,28,All Care Dental Centre - since 1969,4
333,Dr. Jaya Agnihotri,Mahadevapura,Bangalore,Dentist,350,98,23,PruDent Multispeciality Dental Clinic and Implant Center,82
334,Dr. Sathyadeep V,BTM Layout 2nd Stage,Bangalore,Dentist,400,99,17,Sathyadeep Dental Clinic,308
335,Dr. Jaswanth Reddy,Marathahalli,Bangalore,Dentist,350,95,17,SSR Multispeciality Dental Clinic,20
336,Dr. Vinay Anvekar,BTM Layout 1st Stage,Bangalore,Dentist,200,97,20,Vinayaka Sai Dental Clinic,192
337,Dr. Shantipriya,Domlur,Bangalore,Dentist,300,94,33,Cosmo Dental Studio,19
338,Dr. Mridula Singh,HSR Layout,Bangalore,Dentist,600,97,19,Avishi Dental World & Multi-Speciality Clinic,710
339,Dr. Pranay,Marathahalli,Bangalore,Dentist,550,97,13,SmileCure Multispeciality Dental Clinic,1081
340,Dr. Karthikeyan B.V,Yelahanka,Bangalore,Dentist,400,92,23,Advanced Dental Care Centre,559
341,Dr. Krishnanand,Varthur,Bangalore,Dentist,200,100,12,Royal Smiles Multi Speciality Dental and Facial Aesthetics Centre,1192
342,Dr. Umesh B M,JP Nagar 6 Phase,Bangalore,Dentist,300,100,18,Denta Uno Dental,181
343,Dr. Mahantesh,HSR Layout,Bangalore,Dentist,500,99,15,Smile Care Orthodontic Center and Multispeciality Dental Clinic,625
344,Dr. Abhinav Diwan,Horamavu,Bangalore,Dentist,400,99,24,Family Dental Care & Implant Center,153
345,Dr. Mallayya R. Pujari,Marathahalli,Bangalore,Dentist,200,96,17,32 Smiles Multispeciality Dental Clinic,1426
346,Dr. Sushma B T,JP Nagar 6 Phase,Bangalore,Dentist,350,100,13,Denta Uno Dental,15
347,Dr. Pramod Kumar Pillai,RT Nagar,Bangalore,Dentist,400,100,16,Aspen Dental Care,19
348,Dr. Bharath Shetty,HSR Layout,Bangalore,Dentist,300,96,24,Dental Health Care Centre,181
349,Dr. Raghunandana D Karantha,Vijayanagar,Bangalore,Dentist,500,99,34,Sanjeevini Dental And Micro-Endodontic Clinic,173
350,Dr. Srinivas K,Old Airport Road,Bangalore,Dentist,600,98,26,Manipal Hospitals Old Airport Road,154
351,Dr. Sanjay Mohanchandra,JP Nagar 6 Phase,Bangalore,Dentist,500,97,35,Ashirwad Dental Clinic,129
352,Dr. Supreeth Manipal,JP Nagar,Bangalore,Dentist,380,98,25,Smile Sculptors Dental Clinic,181
353,Dr. Shaktidar,Jayanagar,Bangalore,Dentist,500,99,14,Tooth Smith,32
354,Dr. KR Nagaraj,Jayanagar 7 Block,Bangalore,Dentist,500,99,33,Lalitha Dental Speciality Centre,87
355,Dr. Arati Sundar Rajan,Basavanagudi,Bangalore,Dentist,450,97,27,Toothwala,120
356,Dr. Sunila Sampath Kumar,HSR Layout,Bangalore,Dentist,400,94,28,Ritz Dental Speciality Centre,120
357,Dr. Pamela Bhattacharjee,Mahadevapura,Bangalore,Dentist,350,98,24,Oro Care Dental Centre,149
358,Dr. Suresh S,JP Nagar 7 Phase,Bangalore,Dentist,500,97,29,Smiles Smith Advanced Dental Care,131
359,Dr. Shilpa Shashikiran,Sadashivanagar,Bangalore,Dentist,500,99,25,Orchards Dental Care,217
360,Dr. Mir Sujath Ali,Old Airport Road,Bangalore,Dentist,600,98,22,Manipal Hospitals Old Airport Road,181
361,Dr. Swetha Raghavendra,Rajajinagar,Bangalore,Dentist,300,96,21,Raghav Dental Care Centre,35
362,Dr. Priya Verma,Whitefield,Bangalore,Dentist,500,97,27,Smile Zone Dental Speciality Centre,264
363,Dr. Shraddha Bahirwani,Old Airport Road,Bangalore,Dentist,600,83,30,Manipal Hospitals Old Airport Road,9
364,Dr. Sujay Gopal,Banashankari 3rd Stage,Bangalore,Dentist,200,97,16,Sujay's Dental Care,127
365,Dr. Yogesh T Lakkashetty,Sanjay Nagar,Bangalore,Dentist,300,100,21,Lakshmi Oral & Dental Health Care,525
366,Dr. Karthik Venkataraghavan,Domlur,Bangalore,Dentist,600,96,25,Vibha Dental Care Centre,157
367,Dr. Joseph Jaganathan,Indiranagar,Bangalore,Dentist,300,98,24,Star Dental Clinic,43
368,Dr. Rajesh R N G,West Of Chord Road,Bangalore,Dentist,350,97,25,RNP Dental and Orthodontic Care Centre,142
369,Dr. Shivanand V,Hebbal,Bangalore,Dentist,250,99,17,Smile Align Dental,274
370,Dr. Krishna Swaroop Achanta,Padmanabhanagar,Bangalore,Dentist,300,100,8,Expert Dental Care,225
371,Dr. Reena John,Indiranagar,Bangalore,Dentist,500,99,29,Dr. Reena's Dental Health Care Centre,63
372,Dr. Sandhya Rachuri,JP Nagar,Bangalore,Dentist,350,99,19,The Smile Designerz  Multispeciality Dental Clinic,196
373,Dr. Manjunath G S,Kalyan Nagar,Bangalore,Dentist,350,99,21,Embassy Dental,170
374,Dr. Raghavendra K,Rajajinagar,Bangalore,Dentist,500,95,26,Raghav Dental Care Centre,39
375,Dr. Asha Praveena,Kaggadasapura,Bangalore,Dentist,300,98,15,Smile Ever Dental Clinic,153
376,Dr. Rajesh Naik,Kalyan Nagar,Bangalore,Dentist,500,98,25,Fresh Breath Dental Clinic,141
377,Dr. Raju Srinivas,Jayanagar,Bangalore,Dentist,400,97,27,Dental Health Care Clinic,94
378,Dr. Smitha Nagaraj,Jayanagar 7 Block,Bangalore,Dentist,500,100,23,Lalitha Dental Speciality Centre,112
379,Dr. Vikram Shetty K,Jeevanbhimanagar,Bangalore,Dentist,500,97,27,Smile and Shine Multi Speciality Dental Clinic,19
380,Dr. Poojitha,Kasturi nagar,Bangalore,Dentist,200,96,11,Lotus Dental Hub,73
381,Dr. Satish M S,Hebbal,Bangalore,Dentist,1000,97,19,Aster CMI Hospital,20
382,Dr. Poorvi Shrivastava,Marathahalli,Bangalore,Dentist,200,98,12,32 Smiles Multispeciality Dental Clinic,39
383,Dr. Syed Parveez Ali,RT Nagar,Bangalore,Dentist,500,98,19,Sunshine Dental Care,384
384,Dr. Vinod,Horamavu,Bangalore,Dentist,400,98,19,Sure Smile Dental Care,291
385,Dr. Raadhikka Karthhik,Yelahanka,Bangalore,Dentist,400,96,18,Advanced Dental Care Centre,151
386,Dr. Nishanth Shetty,Whitefield,Bangalore,Dentist,300,100,12,Imprssns n Exprssns,831
387,Dr. Anwar Syed,Panathur,Bangalore,Dentist,300,99,14,Perfecto Dental and Implant Clinic,253
388,Dr. Sandhya Karthik,Domlur,Bangalore,Dentist,600,93,25,Vibha Dental Care Centre,53
389,Dr. Archana Diwan,Horamavu,Bangalore,Dentist,400,99,23,Family Dental Care & Implant Center,79
390,Dr. Rajeshwari Dharani,JP Nagar 7 Phase,Bangalore,Homoeopath,500,97,26,Chandra Homeo Clinic,168
391,Dr. Leema,Indiranagar,Bangalore,Homoeopath,600,98,22,Arogyaa Homoeo Super Specialty Clinic for Children & Women,219
392,Dr. Suresh Gundeti,Indiranagar,Bangalore,Homoeopath,500,94,27,German Homeopathy Clinics,154
393,Dr. Radhika Bhonsle,HSR Layout,Bangalore,Homoeopath,500,92,23,Anand Homeopathy Multispeciality Clinic,142
394,Dr. Shantala H P,Banashankari 2nd Stage,Bangalore,Homoeopath,700,96,25,Dr Shantala's Speciality Homoeo Center,213
395,Dr. Lavanya G,Indiranagar,Bangalore,Homoeopath,500,98,23,German Homeopathy Clinics,51
396,Dr. Sangeetha S,Bannerghatta Road,Bangalore,Homoeopath,350,96,12,Raghav's Multispecility Homeopathy Clinic,24
397,Dr. P Hariram Kumar,Varthur,Bangalore,Homoeopath,500,96,34,Nature's Homoeo Pharmacy and Health Care,108
398,Dr. Daisy Bagchi,Banaswadi,Bangalore,Homoeopath,600,94,12,Bong Homoeo Care,86
399,Dr. Sanjay Panicker,Koramangala,Bangalore,Homoeopath,400,91,27,Amrita Homeopathy,459
400,Dr. Gayathri B N,Konanakunte,Bangalore,Homoeopath,1000,100,16,Savi Bindu Homoeopathy and Aesthetics clinic,54
401,Dr. Kishorri P Jain,Kalyan Nagar,Bangalore,Homoeopath,1000,96,22,Homoeopathy Clinic,17
402,Dr. Joy Krishna Banerjee,Indiranagar,Bangalore,Homoeopath,500,95,17,Dr. Banerjee Multi Speciality Homeopathy,324
403,Dr. Rita Samuel Bing,Kumaraswamy Layout,Bangalore,Homoeopath,550,94,14,Ryan Homeopathic Clinic,16
404,Dr. D Praveen Kumar,Malleswaram,Bangalore,Homoeopath,500,100,20,Dr Kumar's Homeopathic Clinic,2
405,Dr. Minu Jain,HSR Layout,Bangalore,Homoeopath,600,71,29,The Derma Theory ,5
406,Dr. Amarjeeth Chillergikar,Malleswaram,Bangalore,Homoeopath,300,97,14,Homeosquare Homeopathy,59
407,Dr. Sri Priya,Jigani,Bangalore,Homoeopath,500,93,12,Rishi Sanjeevini Homoeopathy Clinic,2
408,Dr. Sherebanu Milky,Bannerghatta Road,Bangalore,Homoeopath,700,100,22,Fakhri Medical Center,30
409,Dr. Lalita,Whitefield,Bangalore,Homoeopath,500,100,15,Dr. Lalita's Homeopathic Clinic,6
410,Dr. Vishwaraj N,Seshadripuram,Bangalore,Homoeopath,1000,98,23,Homoeo Health Clinic,15
411,Dr. Ramesh Babu,JP Nagar 2 Phase,Bangalore,Homoeopath,500,71,16,Acure Homeopathy Clinic,3
412,Dr. Shreekant Shivgond,Malleswaram,Bangalore,Homoeopath,500,100,11,Homeosquare Homeopathy,15
413,Dr. Deepak Shah,Malleswaram,Bangalore,Homoeopath,650,90,39,Sattvam's Super Speciality Homeopathy,230
414,Dr. Samana Nadig S,HSR Layout,Bangalore,Homoeopath,300,100,6,Raghav's Homoeopathy Clinic,6
415,Dr. Raja S Kannan,Marathahalli,Bangalore,Homoeopath,500,100,13,Amrita Homeopathy and Aesthetics Multispeciality Clinic,8
416,Dr. Saranya Reddy,HRBR Layout,Bangalore,Homoeopath,350,100,4,Dr. Care Homeopathy Hospital,9
417,Dr. Manjula Kumar,Nagarbhavi,Bangalore,Homoeopath,850,95,23,Cosmic Health Center,58
418,Dr. Zadika Saeed P S,Jayanagar 9 Block,Bangalore,Homoeopath,500,94,9,Cloud Homeopathy,13
419,Dr. Shubham Tiwary,Indiranagar,Bangalore,Homoeopath,300,100,4,Dharma Homoeopathy ,3
420,Dr. Rishabh Vyas,HSR Layout,Bangalore,Homoeopath,399,99,8,Healvibe Healthcare,276
421,Dr. Rajesh.R,Domlur,Bangalore,Homoeopath,500,100,,Trini Healthcare,1
422,Dr. Vindoo Chellagunta,HSR Layout,Bangalore,Homoeopath,300,,15,Nationcare Homeoclinik,1
423,Dr. Savita K,Banashankari 1st Stage,Bangalore,Homoeopath,600,,23,Sapthadri Homoeo Clinic,1
424,Dr. Shilpa Muralidhar,Jayanagar 3 Block,Bangalore,Homoeopath,700,,15,Provitale Health,1
425,Dr. K.Sulekha,Marathahalli,Bangalore,Homoeopath,400,100,33,Homeo Central,20
426,Dr. Prashanthi K.,Marathahalli,Bangalore,Homoeopath,1450,95,15,Dwarakamayi Psychologial Counselling Center & Homeo Clinic,43
427,Dr. Rajesh Shah,Malleswaram,Bangalore,Homoeopath,3000,88,38,Lifeforce Homeopathy Clinic,56
428,Dr. Megha Malkan,Indiranagar,Bangalore,Homoeopath,500,100,16,Homoeo Center,20
429,Dr. Charchil Jain,JP Nagar 1 Phase,Bangalore,Homoeopath,400,100,6,Dr Charchil jain Homeopathic Clinic,6
430,Dr. Raghi Anand,JP Nagar 7 Phase,Bangalore,Homoeopath,650,93,24,R.A Homoeopathy Clinic,8
431,Dr. Ritu Taly,HSR Layout,Bangalore,Homoeopath,350,100,18,Homeopathy Center,276
432,Dr. K.P Leneena,KR Puram,Bangalore,Homoeopath,400,,29,Lotus Homeo Clinic,276
433,Dr. Chandra Shekar,Malleswaram,Bangalore,Homoeopath,300,100,23,Dr. Grace Superspeciality Homeo Clinic & Research Center,19
434,Dr. Harshita Raj,Sarjapura,Bangalore,Homoeopath,500,100,5,Homeopathic Clinic,4
435,Dr. Manjunath A,Jayanagar 4 Block,Bangalore,Homoeopath,450,88,20,Dr Batra's Positive Health Clinic Pvt Ltd,16
436,Dr. Stella Mythily,Indiranagar,Bangalore,Homoeopath,450,100,20,Dr Batra's Positive Health Clinic Pvt Ltd,12
437,Dr. Shilpa Rao,Bannerghatta Road,Bangalore,Homoeopath,500,100,20,Blisso Clinic,30
438,Dr. Nisha Sharma,Nagasandra,Bangalore,Homoeopath,400,,11,Dr. Nisha Homoeopathic Clinic,30
439,Dr. Sayed Shireen K,Malleswaram,Bangalore,Homoeopath,450,75,19,Dr Batra's Positive Health Clinic Pvt Ltd,1
440,Dr. Anitha B,HSR Layout,Bangalore,Homoeopath,500,95,20,Raghav's Homoeopathy Clinic,35
441,Dr. Vishal Katoch,JP Nagar 7 Phase,Bangalore,Homoeopath,900,100,19,Dr Vishal's Saisha Homeo Hub and Healthcare,11
442,Dr. Kiranmai Yellapu,Electronics City,Bangalore,Homoeopath,450,91,17,Dr Batra's Positive Health Clinic Pvt Ltd,21
443,Dr. Suvarna Patil,Sarjapur Road,Bangalore,Homoeopath,500,97,10,Anamay Homoeopathy,25
444,Dr. Ankita Patel,BTM Layout 2nd Stage,Bangalore,Homoeopath,350,100,12,Maruthi Homoeo Hall,22
445,Dr. Saurabh Pal,Whitefield,Bangalore,Homoeopath,450,82,9,Dr Batra's Positive Health Clinic Pvt Ltd,17
446,Dr. Anuja Lakshmi,Banaswadi,Bangalore,Homoeopath,250,86,10,Sanjeevanee Homoeo Clinic,7
447,Dr. Prasad S,Malleswaram,Bangalore,Homoeopath,300,100,34,Dr. Grace Superspeciality Homeo Clinic & Research Center,1
448,Dr. Nikita Joshi,Sahakaranagar,Bangalore,Homoeopath,1000,,17,Dr Nikita's Homoeopathic Wellness & Cosmetic Clinic,1
449,Dr. Giriraju,Malleswaram,Bangalore,Homoeopath,300,100,26,Dr. Grace Superspeciality Homeo Clinic & Research Center,9
450,Dr. Priyanka JP,JP Nagar,Bangalore,Homoeopath,300,100,8,Sree Homoeo Health Clinic,5
451,Dr. Vinay Ram,Malleswaram,Bangalore,Homoeopath,500,100,15,Lifeforce Homeopathy Clinic,3
452,Dr. Mohamed Ramees Sabu C K,Vijayanagar,Bangalore,Homoeopath,450,100,9,Dr Batra's Positive Health Clinic Pvt Ltd,1
453,Dr. Johncy S,Koramangala,Bangalore,Homoeopath,450,,16,Dr Batra's Positive Health Clinic Pvt Ltd,1
454,Dr. Prarthana Sinha Roy,Electronics City,Bangalore,Homoeopath,300,100,22,Dr. Prarthana Sinha's Clinic,11
455,Dr. Anjali Sebastian,Jayanagar 4 Block,Bangalore,Homoeopath,500,,6,Lifeforce Homeopathy Clinic,11
456,Dr. Aishwarya Bhalke,HSR Layout,Bangalore,Homoeopath,400,,2,Healvibe Healthcare,11
457,Dr. Gurumayum Chand Sharma,Kammana Halli,Bangalore,Homoeopath,450,,13,Dr Batra's Positive Health Clinic Pvt Ltd,11
458,Dr. Jasna Mathew,HSR Layout,Bangalore,Homoeopath,450,,8,Dr Batra's Positive Health Clinic Pvt Ltd,11
459,Dr. C S SURABHI,Indiranagar,Bangalore,Homoeopath,450,,5,Dr Batra's Positive Health Clinic Pvt Ltd,11
460,Dr. Aswani Santhosh,Indiranagar,Bangalore,Homoeopath,450,,4,Dr Batra's Positive Health Clinic Pvt Ltd,20
461,Dr. D Daniel Raj,Koramangala,Bangalore,Homoeopath,450,67,20,Dr Batra's Positive Health Clinic Pvt Ltd,3
462,Dr. T N Rekha Singh,Secunderabad,Hyderabad,Dermatologist,700,99,19,Oliva Skin & Hair Clinic,233
463,Dr. Swapna Kunduru,Gachibowli,Hyderabad,Dermatologist,800,89,21,Continental Hospitals,41
464,Dr. K.Srilakshmi,Gachibowli,Hyderabad,Dermatologist,800,90,18,Continental Hospitals,14
465,Dr. B.V.S Rama Prasad,Banjara Hills,Hyderabad,Dermatologist,1000,98,48,Virinchi Hospitals,20
466,Dr. B Anand,Karkhana,Hyderabad,Dermatologist,600,97,17,SmilenGlow Dental and Skin Hospital,212
